국가,국가코드(ISO 2자리 코드),수출품,수입품,무역년도,우리나라와의 무역 수출액(US달러(호주는 AU달러),우리나라와의 무역 수입액(US달러(호주는 AU달러)
코스타리카,CR,"자동차 및 부품, 의약품 등","반도체, 고철, 커피 등",2019,119000000,225000000
코트디부아르,CI,"TV, 불도저, 자동차 등","구리, 커피, 코코아 등",2018,110000000,6870000
콜롬비아,CO,"자동차 및 부품, 기계류 등","원유, 합금철, 커피 등",2019,1140000000,720000000
콩고공화국,CG,"백신, 선박, 기계류 등","목재, 광물 등",2018,223500000,5750000
콩고민주공화국(DR콩고),CD,"합성수지, 진단용조제시약 등","구리, 동, 원목 등",2019,37080000,411230000
쿠바,CU,"디젤 엔진 및 발전기 관련 제품, 자동차 및 자동차 부품, 타이어, 에어컨","아연광 및 정광, 알루미늄, 담배",2019,42000000,5000000
쿠웨이트,KW,"자동차, 보일러기계류, 전기 전자기기, 타이어","석유, 석유화학품, 알미늄제품",2019,1000000000,10800000000
쿡제도,CK,이륜차 부품,"과일주수, 어류",2019,38000,679000
크로아티아,HR,"의약품, 자동차, 합성수지","원동기, 동조가공품, 배전부분품",2019,241000000,27000000
키르기즈,KG,"편직물, 화장품, 화물자동차 등","기타전자관, 기타섬유제품 등",2019,164610000,598000
키리바시,KI,"어선, 어망, 전동기",참치,2019,10520000,8670000
타지키스탄,TJ,"기계류, 화물차 및 승용차, 자동차 부훔, 타이어","면화, 알루미늄",2019,29030000,5000
탄자니아,TZ,"중고의류, 경유, 석유화학제품, 섬유제품 등","잎담배, 미정제동괴, 커피 등",2019,138020000,36700000
태국,TH,"철강, 전기 전자, 기계, 플라스틱, 선박 등","전자부품, 기계, 고무, 플라스틱, 목재 등",2019,7800000000,5300000000
터키,TR,"플라스틱류, 철강, 기계 및 부품, 자동차부품 등","의약품, 기계 및 부품, 자동차부품 등",2019,5300000000,1200000000
토고,TG,"경유, 합성수지, 폴리에스테르 등","폐건전지, 동괴 등",2018,1063000000,47000000
통가,TO,"합성수지, 자동차","채소, 해조류",,3285000,2810000
투르크메니스탄,TM,"철구조물, 기타산업기계, 화학기계",원면 등 석유제품,2019,14180000,10000
투발루,TV,"컴퓨터 부품, 오토바이",참치,2019,277000,
튀니지,TN,"승용차, 건설중장비, 석유화학제품 등","나프타, 의류, 원자재 등",2019,181000000,56000000
트리니다드토바고,TT,"자동차, 철강, 형강, 강판 등","암모니아수, 메탄올, 동괴 등",2019,86000000,240000000
파나마,PA,"자동차, 철강, 건설중장비 등","LPG, 고철, 동괴, 새우 등",2019,1700000000,87000000
파라과이,PY,"자동차, 전자제품 등 공산품",농업가공품 등 1차산업 품목,2019,111000000,12000000
파키스탄,PK,"합성수지, 석유제품, 철강, 의약품 등","석유제품, 기호식품, 면직물 등",2019,830000000,420000000
파푸아뉴기니,PG,"화학품, 수송기계, 철강 등","광물, 연료, 목재 등",2019,48000000,380000000
팔라우,PW,"기계류, 장비","조개류, 참치 등 어류",2019,19090000,3390000
팔레스타인,PS,"승용차, 화학기계","석재, 올리브유",2017,102000000,1800000
페루,PE,"자동차, 합성수지, 기계류","광물, 과일, 수산가공품",2019,744000000,2318000000
포르투갈,PT,"승용차, 합성수지, 아연도강판 등","편직제의류, 타이어, 합성수지 등",2019,505000000,287000000
폴란드,PL,"평판디스플레이, 자동차부품, 승용차 등","도자기, 자동차부품, 의약품 등",2018,433000000,680000000
프랑스,FR,"승용차, 축전지, 전기자동차, 집적회로반도체 등","화장품, 가방, 의약품, 집적회로반도체 등",2019,3317000000,5835000000
피지,FJ,"석유제품, 자동차, 어구","참치, 고철, 생수",2019,230000000,5000000
핀란드,FI,"승용차, 전기자동차, 합성수지, 발전기 등","기타정밀화학연료, 유선통신기기 부품, 발전기, 니켈괴 및 스크랩 등",2019,310000000,1120000000
필리핀,PH,"반도체, 석유제품, 자동차, 철강판","반도체, 원유, 동 제품, 곡물, 컴퓨터, 평판디스플레이",2019,8400000000,3700000000
헝가리,HU,"의약품, 컴퓨터, 자동차, 디스플레이","자동차, 엔진, 자동차 부품",2019,2500000000,500000000
호주,AU,"석유제품, 자동차, 선박","석탄, 철광석, 육류, 가스, 원유",2018,9600000000,20700000000
